出现时间,高关注度时间,政策,地点
2020-01-26,2020-01-30,温度计,山西
2020-01-25,2020-01-30,温度计,辽宁
2020-01-23,2020-02-10,温度计,广西
2020-01-18,2020-02-11,温度计,河北
2020-01-20,2020-01-23,温度计,天津
2020-01-20,2020-01-26,温度计,云南
2020-01-24,2020-01-27,温度计,宁夏
2020-01-21,2020-01-24,温度计,吉林
2020-01-20,2020-02-01,温度计,甘肃
2020-01-22,2020-01-29,温度计,边远地区
2020-01-24,2020-02-04,温度计,海南
2020-01-27,2020-01-31,温度计,新疆
2020-01-26,2020-01-29,温度计,青海
2020-01-22,2020-02-06,温度计,西藏
2020-01-09,2020-01-23,洗手液,湖北
2020-01-14,2020-01-27,洗手液,环鄂地区
2020-01-17,2020-02-03,洗手液,河南
2020-01-14,2020-01-29,洗手液,湖南
2020-01-20,2020-01-25,洗手液,江西
2020-01-19,2020-01-31,洗手液,陕西
2020-01-19,2020-01-29,洗手液,安徽
2020-01-20,2020-02-03,洗手液,重庆
2020-01-18,2020-02-05,洗手液,四川
2020-01-12,2020-01-28,洗手液,沿海发达地区
2020-01-17,2020-02-01,洗手液,广东
2020-01-17,2020-01-26,洗手液,浙江
2020-01-18,2020-01-28,洗手液,山东
2020-01-13,2020-01-29,洗手液,北京
2020-01-19,2020-01-28,洗手液,上海
2020-01-19,2020-01-31,洗手液,福建
2020-01-18,2020-01-29,洗手液,江苏
2020-01-18,2020-01-29,洗手液,普通地区
2020-01-20,2020-01-27,洗手液,内蒙古
2020-01-22,2020-02-01,洗手液,黑龙江
2020-01-19,2020-01-25,洗手液,贵州
2020-01-21,2020-02-03,洗手液,山西
2020-01-18,2020-01-27,洗手液,辽宁
2020-01-21,2020-01-26,洗手液,广西
2020-01-21,2020-02-01,洗手液,河北
2020-01-20,2020-01-30,洗手液,天津
2020-01-22,2020-01-27,洗手液,云南
2020-01-24,2020-01-28,洗手液,宁夏
2020-01-26,2020-02-05,洗手液,吉林
2020-01-19,2020-01-31,洗手液,甘肃
2020-01-19,2020-01-27,洗手液,边远地区
2020-01-19,2020-01-25,洗手液,海南
2020-01-22,2020-01-27,洗手液,新疆
2020-01-20,2020-02-11,洗手液,青海
2020-01-22,2020-02-08,洗手液,西藏
2020-01-08,2020-01-28,早隔离,湖北
2020-01-18,2020-01-28,早隔离,环鄂地区
2020-01-18,2020-01-31,早隔离,河南
2020-01-18,2020-02-01,早隔离,湖南
2020-01-19,2020-02-02,早隔离,江西
2020-01-19,2020-02-12,早隔离,陕西
2020-01-20,2020-02-06,早隔离,安徽
2020-01-20,2020-01-27,早隔离,重庆
2020-01-18,2020-01-27,早隔离,四川
2020-01-17,2020-01-27,早隔离,沿海发达地区
2020-01-17,2020-02-07,早隔离,广东
2020-01-19,2020-01-26,早隔离,浙江
2020-01-19,2020-01-26,早隔离,山东
2020-01-17,2020-01-28,早隔离,北京
2020-01-19,2020-02-13,早隔离,上海
2020-01-20,2020-02-05,早隔离,福建
2020-01-19,2020-01-27,早隔离,江苏
2020-01-15,2020-01-30,早隔离,普通地区
2020-01-19,2020-01-31,早隔离,内蒙古
2020-01-19,2020-01-25,早隔离,黑龙江
2020-01-15,2020-02-03,早隔离,贵州
2020-01-19,2020-02-06,早隔离,山西
2020-01-20,2020-01-26,早隔离,辽宁
2020-01-19,2020-01-27,早隔离,广西
2020-01-18,2020-01-31,早隔离,河北
2020-01-18,2020-02-10,早隔离,天津
2020-01-20,2020-01-30,早隔离,云南
2020-01-20,2020-01-30,早隔离,宁夏
2020-01-24,2020-02-03,早隔离,吉林
2020-01-20,2020-01-30,早隔离,甘肃
2020-01-20,2020-01-31,早隔离,边远地区
2020-01-20,2020-02-09,早隔离,海南
2020-01-21,2020-01-29,早隔离,新疆
2020-01-21,2020-02-03,早隔离,青海
2020-01-25,2020-01-31,早隔离,西藏
2019-12-31,2020-01-26,N95,湖北
2020-01-17,2020-01-29,N95,环鄂地区
2020-01-18,2020-02-03,N95,河南
2020-01-17,2020-01-31,N95,湖南
2020-01-19,2020-01-30,N95,江西
2020-01-19,2020-01-29,N95,陕西
2020-01-18,2020-01-29,N95,安徽
2020-01-18,2020-01-27,N95,重庆
2020-01-18,2020-01-26,N95,四川
2020-01-16,2020-01-29,N95,沿海发达地区
2020-01-16,2020-01-29,N95,广东
2020-01-17,2020-01-30,N95,浙江
2020-01-17,2020-01-30,N95,山东
2020-01-16,2020-01-28,N95,北京
2020-01-19,2020-01-28,N95,上海
2020-01-17,2020-01-30,N95,福建
2020-01-18,2020-01-29,N95,江苏
2020-01-15,2020-01-30,N95,普通地区
2020-01-20,2020-01-29,N95,内蒙古
2020-01-15,2020-02-08,N95,黑龙江
2020-01-18,2020-02-09,N95,贵州
2020-01-20,2020-02-01,N95,山西
2020-01-18,2020-01-29,N95,辽宁
2020-01-19,2020-02-06,N95,广西
2020-01-18,2020-01-30,N95,河北
2020-01-19,2020-01-28,N95,天津
2020-01-19,2020-01-30,N95,云南
2020-01-20,2020-02-08,N95,宁夏
2020-01-19,2020-02-01,N95,吉林
2020-01-20,2020-01-30,N95,甘肃
2020-01-17,2020-01-29,N95,边远地区
2020-01-17,2020-02-02,N95,海南
2020-01-20,2020-01-28,N95,新疆
2020-01-19,2020-01-30,N95,青海
2020-01-22,2020-01-29,N95,西藏
2019-12-01,2020-01-28,食品,湖北
2020-01-14,2020-02-01,食品,环鄂地区
2020-01-14,2020-02-01,食品,河南
2020-01-14,2020-02-03,食品,湖南
2020-01-14,2020-01-31,食品,江西
2020-01-15,2020-01-30,食品,陕西
2020-01-15,2020-01-29,食品,安徽
2020-01-14,2020-02-04,食品,重庆
2020-01-14,2020-02-04,食品,四川
2020-01-12,2020-02-01,食品,沿海发达地区
2020-01-12,2020-02-02,食品,广东
2020-01-14,2020-02-08,食品,浙江
2020-01-14,2020-01-31,食品,山东
2020-01-13,2020-02-03,食品,北京
2020-01-13,2020-01-29,食品,上海
2020-01-15,2020-02-05,食品,福建
2020-01-15,2020-01-31,食品,江苏
2020-01-15,2020-02-02,食品,普通地区
2020-01-16,2020-02-02,食品,内蒙古
2020-01-15,2020-01-31,食品,黑龙江
2020-01-15,2020-01-31,食品,贵州
2020-01-15,2020-02-02,食品,山西
2020-01-15,2020-01-30,食品,辽宁
2020-01-15,2020-02-04,食品,广西
2020-01-15,2020-02-04,食品,河北
2020-01-18,2020-02-23,食品,天津
2020-01-16,2020-02-05,食品,云南
2020-01-16,2020-02-04,食品,宁夏
2020-01-15,2020-02-03,食品,吉林
2020-01-16,2020-02-02,食品,甘肃
2020-01-15,2020-02-03,食品,边远地区
2020-01-15,2020-02-04,食品,海南
2020-01-16,2020-02-07,食品,新疆
2020-01-18,2020-02-10,食品,青海
2020-01-22,2020-02-05,食品,西藏
2020-01-18,2020-01-26,防护用品,湖北
2020-01-18,2020-01-29,防护用品,环鄂地区
2020-01-19,2020-01-30,防护用品,河南
2020-01-18,2020-01-30,防护用品,湖南
2020-01-20,2020-01-28,防护用品,江西
2020-01-19,2020-01-29,防护用品,陕西
2020-01-19,2020-01-31,防护用品,安徽
2020-01-19,2020-02-01,防护用品,重庆
2020-01-19,2020-01-27,防护用品,四川
2020-01-16,2020-01-28,防护用品,沿海发达地区
2020-01-16,2020-02-02,防护用品,广东
2020-01-19,2020-01-28,防护用品,浙江
2020-01-19,2020-01-28,防护用品,山东
2020-01-19,2020-01-28,防护用品,北京
2020-01-19,2020-01-28,防护用品,上海
2020-01-20,2020-01-31,防护用品,福建
2020-01-20,2020-01-29,防护用品,江苏
2020-01-18,2020-01-30,防护用品,普通地区
2020-01-19,2020-01-31,防护用品,内蒙古
2020-01-19,2020-01-31,防护用品,黑龙江
2020-01-19,2020-01-31,防护用品,贵州
2020-01-19,2020-02-02,防护用品,山西
2020-01-18,2020-01-30,防护用品,辽宁
2020-01-20,2020-02-03,防护用品,广西
2020-01-19,2020-01-29,防护用品,河北
2020-01-19,2020-01-30,防护用品,天津
2020-01-19,2020-01-29,防护用品,云南
2020-01-18,2020-02-05,防护用品,宁夏
2020-01-20,2020-01-28,防护用品,吉林
2020-01-19,2020-02-02,防护用品,甘肃
2020-01-18,2020-01-28,防护用品,边远地区
2020-01-18,2020-01-26,防护用品,海南
2020-01-20,2020-01-28,防护用品,新疆
2020-01-18,2020-02-10,防护用品,青海
2020-01-22,2020-01-23,防护用品,西藏
2019-12-06,2020-02-05,鸡蛋,湖北
2020-01-14,2020-02-03,鸡蛋,环鄂地区
2020-01-14,2020-02-04,鸡蛋,河南
2020-01-24,2020-02-02,鸡蛋,湖南
2020-01-22,2020-02-08,鸡蛋,江西
2020-01-15,2020-02-04,鸡蛋,陕西
2020-01-17,2020-02-05,鸡蛋,安徽
2020-01-14,2020-02-04,鸡蛋,重庆
2020-01-14,2020-02-04,鸡蛋,四川
2020-01-12,2020-02-04,鸡蛋,沿海发达地区
2020-01-12,2020-02-10,鸡蛋,广东
2020-01-18,2020-02-09,鸡蛋,浙江
2020-01-14,2020-02-03,鸡蛋,山东
2020-01-13,2020-02-03,鸡蛋,北京
2020-01-19,2020-02-04,鸡蛋,上海
2020-01-16,2020-02-05,鸡蛋,福建
2020-01-15,2020-02-09,鸡蛋,江苏
2020-01-15,2020-02-04,鸡蛋,普通地区
2020-01-26,2020-02-04,鸡蛋,内蒙古
2020-01-20,2020-02-01,鸡蛋,黑龙江
2020-01-26,2020-02-05,鸡蛋,贵州
2020-01-15,2020-02-03,鸡蛋,山西
2020-01-17,2020-02-03,鸡蛋,辽宁
2020-01-21,2020-02-10,鸡蛋,广西
2020-01-15,2020-02-06,鸡蛋,河北
2020-01-23,2020-02-17,鸡蛋,天津
2020-01-16,2020-02-11,鸡蛋,云南
2020-01-26,2020-02-04,鸡蛋,宁夏
2020-01-23,2020-02-05,鸡蛋,吉林
2020-01-16,2020-02-10,鸡蛋,甘肃
2020-01-15,2020-02-10,鸡蛋,边远地区
2020-01-20,2020-02-04,鸡蛋,海南
2020-01-16,2020-02-12,鸡蛋,新疆
2020-01-20,2020-02-11,鸡蛋,青海
2020-01-29,2020-02-27,鸡蛋,西藏
2019-12-28,2020-02-01,牛奶,湖北
2020-01-14,2020-02-03,牛奶,环鄂地区
2020-01-14,2020-02-04,牛奶,河南
2020-01-24,2020-02-02,牛奶,湖南
2020-01-24,2020-02-10,牛奶,江西
2020-01-23,2020-02-05,牛奶,陕西
2020-01-23,2020-02-04,牛奶,安徽
2020-01-24,2020-02-04,牛奶,重庆
2020-01-14,2020-02-01,牛奶,四川
2020-01-12,2020-02-02,牛奶,沿海发达地区
2020-01-21,2020-02-02,牛奶,广东
2020-01-18,2020-02-10,牛奶,浙江
2020-01-24,2020-02-01,牛奶,山东
2020-01-25,2020-02-03,牛奶,北京
2020-01-19,2020-01-30,牛奶,上海
2020-01-25,2020-02-07,牛奶,福建
2020-01-15,2020-02-05,牛奶,江苏
2020-01-15,2020-02-04,牛奶,普通地区
2020-01-27,2020-02-09,牛奶,内蒙古
2020-01-15,2020-01-31,牛奶,黑龙江
2020-01-25,2020-02-02,牛奶,贵州
2020-01-25,2020-02-03,牛奶,山西
2020-01-25,2020-02-10,牛奶,辽宁
2020-01-25,2020-02-04,牛奶,广西
2020-01-18,2020-02-07,牛奶,河北
2020-01-28,2020-02-12,牛奶,天津
2020-01-17,2020-02-04,牛奶,云南
2020-01-25,2020-02-02,牛奶,宁夏
2020-01-15,2020-02-07,牛奶,吉林
2020-01-24,2020-02-04,牛奶,甘肃
2020-01-15,2020-02-05,牛奶,边远地区
2020-01-15,2020-02-04,牛奶,海南
2020-01-24,2020-02-08,牛奶,新疆
2020-01-27,2020-02-09,牛奶,青海
2020-01-22,2020-02-05,牛奶,西藏
2019-12-01,2020-01-28,食物,湖北
2020-01-14,2020-02-03,食物,环鄂地区
2020-01-14,2020-02-01,食物,河南
2020-01-14,2020-01-29,食物,湖南
2020-01-16,2020-02-09,食物,江西
2020-01-19,2020-02-08,食物,陕西
2020-01-15,2020-01-29,食物,安徽
2020-01-18,2020-01-24,食物,重庆
2020-01-19,2020-02-06,食物,四川
2020-01-12,2020-02-01,食物,沿海发达地区
2020-01-12,2020-02-10,食物,广东
2020-01-14,2020-01-31,食物,浙江
2020-01-14,2020-01-29,食物,山东
2020-01-13,2020-02-02,食物,北京
2020-01-19,2020-02-23,食物,上海
2020-01-15,2020-02-06,食物,福建
2020-01-15,2020-02-08,食物,江苏
2020-01-15,2020-02-01,食物,普通地区
2020-01-19,2020-02-04,食物,内蒙古
2020-01-15,2020-02-01,食物,黑龙江
2020-01-19,2020-02-04,食物,贵州
2020-01-15,2020-02-03,食物,山西
2020-01-18,2020-02-11,食物,辽宁
2020-01-17,2020-02-13,食物,广西
2020-01-18,2020-02-16,食物,河北
2020-01-20,2020-02-01,食物,天津
2020-01-18,2020-01-29,食物,云南
2020-01-23,2020-02-05,食物,宁夏
2020-01-15,2020-01-22,食物,吉林
2020-01-18,2020-02-02,食物,甘肃
2020-01-15,2020-02-11,食物,边远地区
2020-01-18,2020-02-13,食物,海南
2020-01-16,2020-02-16,食物,新疆
2020-01-19,2020-02-07,食物,青海
2020-01-22,2020-02-18,食物,西藏
2019-12-26,2020-01-26,医疗器械,湖北
2020-01-14,2020-01-28,医疗器械,环鄂地区
2020-01-20,2020-01-30,医疗器械,河南
2020-01-18,2020-01-31,医疗器械,湖南
2020-01-16,2020-01-28,医疗器械,江西
2020-01-15,2020-01-29,医疗器械,陕西
2020-01-15,2020-01-29,医疗器械,安徽
2020-01-20,2020-02-01,医疗器械,重庆
2020-01-19,2020-01-27,医疗器械,四川
2020-01-12,2020-01-30,医疗器械,沿海发达地区
2020-01-12,2020-02-09,医疗器械,广东
2020-01-19,2020-01-30,医疗器械,浙江
2020-01-17,2020-01-28,医疗器械,山东
2020-01-13,2020-02-10,医疗器械,北京
2020-01-13,2020-01-24,医疗器械,上海
2020-01-19,2020-01-30,医疗器械,福建
2020-01-15,2020-02-01,医疗器械,江苏
2020-01-15,2020-01-30,医疗器械,普通地区
2020-01-19,2020-01-30,医疗器械,内蒙古
2020-01-19,2020-02-02,医疗器械,黑龙江
2020-01-21,2020-02-03,医疗器械,贵州
2020-01-20,2020-02-04,医疗器械,山西
2020-01-18,2020-02-06,医疗器械,辽宁
2020-01-20,2020-01-31,医疗器械,广西
2020-01-15,2020-01-29,医疗器械,河北
2020-01-19,2020-02-01,医疗器械,天津
2020-01-16,2020-01-29,医疗器械,云南
2020-01-20,2020-02-03,医疗器械,宁夏
2020-01-15,2020-01-31,医疗器械,吉林
2020-01-16,2020-02-01,医疗器械,甘肃
2020-01-15,2020-01-27,医疗器械,边远地区
2020-01-15,2020-01-28,医疗器械,海南
2020-01-22,2020-01-27,医疗器械,新疆
2020-01-18,2020-02-01,医疗器械,青海
2020-01-22,2020-01-27,医疗器械,西藏
2020-01-13,2020-01-26,体温计,湖北
2020-01-18,2020-01-28,体温计,环鄂地区
2020-01-21,2020-01-29,体温计,河南
2020-01-18,2020-01-28,体温计,湖南
2020-01-21,2020-01-31,体温计,江西
2020-01-19,2020-01-30,体温计,陕西
2020-01-23,2020-01-29,体温计,安徽
2020-01-21,2020-01-24,体温计,重庆
2020-01-19,2020-01-28,体温计,四川
2020-01-12,2020-01-29,体温计,沿海发达地区
2020-01-19,2020-01-29,体温计,广东
2020-01-19,2020-01-29,体温计,浙江
2020-01-19,2020-01-29,体温计,山东
2020-01-17,2020-01-28,体温计,北京
2020-01-19,2020-02-06,体温计,上海
2020-01-15,2020-02-07,体温计,福建
2020-01-18,2020-01-29,体温计,江苏
2020-01-16,2020-01-28,体温计,普通地区
2020-01-23,2020-02-03,体温计,内蒙古
2020-01-16,2020-01-26,体温计,黑龙江
2020-01-22,2020-02-17,体温计,贵州
2020-01-19,2020-01-31,体温计,山西
2020-01-20,2020-01-29,体温计,辽宁
2020-01-20,2020-01-29,体温计,广西
2020-01-22,2020-01-29,体温计,河北
2020-01-22,2020-01-28,体温计,天津
2020-01-20,2020-01-30,体温计,云南
2020-01-22,2020-02-12,体温计,宁夏
2020-01-20,2020-02-02,体温计,吉林
2020-01-21,2020-01-27,体温计,甘肃
2020-01-19,2020-02-01,体温计,边远地区
2020-01-19,2020-02-01,体温计,海南
2020-01-23,2020-01-29,体温计,新疆
2020-01-22,2020-01-31,体温计,青海
2020-01-22,2020-02-04,体温计,西藏
2019-12-01,2020-02-03,猪肉,湖北
2020-01-14,2020-01-28,猪肉,环鄂地区
2020-01-14,2020-01-28,猪肉,河南
2020-01-14,2020-02-02,猪肉,湖南
2020-01-14,2020-02-01,猪肉,江西
2020-01-15,2020-01-27,猪肉,陕西
2020-01-15,2020-01-31,猪肉,安徽
2020-01-14,2020-02-12,猪肉,重庆
2020-01-14,2020-01-29,猪肉,四川
2020-01-12,2020-01-28,猪肉,沿海发达地区
2020-01-12,2020-01-28,猪肉,广东
2020-01-14,2020-02-10,猪肉,浙江
2020-01-14,2020-01-28,猪肉,山东
2020-01-13,2020-01-30,猪肉,北京
2020-01-13,2020-02-01,猪肉,上海
2020-01-15,2020-01-29,猪肉,福建
2020-01-15,2020-01-28,猪肉,江苏
2020-01-15,2020-02-01,猪肉,普通地区
2020-01-16,2020-02-10,猪肉,内蒙古
2020-01-15,2020-02-02,猪肉,黑龙江
2020-01-15,2020-02-05,猪肉,贵州
2020-01-15,2020-02-10,猪肉,山西
2020-01-15,2020-01-31,猪肉,辽宁
2020-01-15,2020-02-04,猪肉,广西
2020-01-15,2020-01-28,猪肉,河北
2020-01-18,2020-01-28,猪肉,天津
2020-01-16,2020-02-10,猪肉,云南
2020-01-15,2020-02-08,猪肉,宁夏
2020-01-15,2020-02-01,猪肉,吉林
2020-01-16,2020-02-05,猪肉,甘肃
2020-01-15,2020-01-29,猪肉,边远地区
2020-01-15,2020-01-30,猪肉,海南
2020-01-16,2020-01-27,猪肉,新疆
2020-01-18,2020-01-29,猪肉,青海
2020-01-22,2020-02-28,猪肉,西藏
2019-12-01,2020-01-30,蔬菜,湖北
2020-01-14,2020-01-30,蔬菜,环鄂地区
2020-01-14,2020-02-03,蔬菜,河南
2020-01-14,2020-02-01,蔬菜,湖南
2020-01-20,2020-01-30,蔬菜,江西
2020-01-15,2020-01-29,蔬菜,陕西
2020-01-18,2020-01-31,蔬菜,安徽
2020-01-14,2020-01-29,蔬菜,重庆
2020-01-14,2020-01-31,蔬菜,四川
2020-01-12,2020-01-29,蔬菜,沿海发达地区
2020-01-12,2020-01-29,蔬菜,广东
2020-01-19,2020-02-02,蔬菜,浙江
2020-01-16,2020-01-29,蔬菜,山东
2020-01-13,2020-01-29,蔬菜,北京
2020-01-19,2020-01-28,蔬菜,上海
2020-01-20,2020-01-29,蔬菜,福建
2020-01-15,2020-01-30,蔬菜,江苏
2020-01-15,2020-01-30,蔬菜,普通地区
2020-01-23,2020-02-04,蔬菜,内蒙古
2020-01-18,2020-02-01,蔬菜,黑龙江
2020-01-15,2020-02-01,蔬菜,贵州
2020-01-22,2020-02-03,蔬菜,山西
2020-01-15,2020-01-29,蔬菜,辽宁
2020-01-15,2020-01-30,蔬菜,广西
2020-01-19,2020-01-29,蔬菜,河北
2020-01-18,2020-02-11,蔬菜,天津
2020-01-16,2020-01-30,蔬菜,云南
2020-01-15,2020-02-11,蔬菜,宁夏
2020-01-19,2020-02-01,蔬菜,吉林
2020-01-16,2020-02-06,蔬菜,甘肃
2020-01-15,2020-02-01,蔬菜,边远地区
2020-01-15,2020-02-02,蔬菜,海南
2020-01-16,2020-02-08,蔬菜,新疆
2020-01-18,2020-01-28,蔬菜,青海
2020-01-22,2020-02-15,蔬菜,西藏
2019-12-08,2020-02-01,交通管制,湖北
2020-01-14,2020-01-30,交通管制,环鄂地区
2020-01-14,2020-02-03,交通管制,河南
2020-01-21,2020-01-31,交通管制,湖南
2020-01-14,2020-02-02,交通管制,江西
2020-01-22,2020-01-28,交通管制,陕西
2020-01-21,2020-01-27,交通管制,安徽
2020-01-23,2020-01-31,交通管制,重庆
2020-01-19,2020-02-09,交通管制,四川
2020-01-12,2020-02-01,交通管制,沿海发达地区
2020-01-12,2020-02-01,交通管制,广东
2020-01-20,2020-02-02,交通管制,浙江
2020-01-22,2020-01-30,交通管制,山东
2020-01-13,2020-03-01,交通管制,北京
2020-01-19,2020-01-31,交通管制,上海
2020-01-23,2020-02-02,交通管制,福建
2020-01-23,2020-02-07,交通管制,江苏
2020-01-15,2020-01-31,交通管制,普通地区
2020-01-16,2020-01-27,交通管制,内蒙古
2020-01-22,2020-02-03,交通管制,黑龙江
2020-01-22,2020-02-14,交通管制,贵州
2020-01-19,2020-01-27,交通管制,山西
2020-01-23,2020-01-31,交通管制,辽宁
2020-01-22,2020-02-06,交通管制,广西
2020-01-23,2020-02-02,交通管制,河北
2020-01-21,2020-02-01,交通管制,天津
2020-01-20,2020-01-26,交通管制,云南
2020-01-24,2020-01-31,交通管制,宁夏
2020-01-21,2020-01-31,交通管制,吉林
2020-01-21,2020-01-30,交通管制,甘肃
2020-01-21,2020-01-30,交通管制,边远地区
2020-01-21,2020-01-31,交通管制,海南
2020-01-24,2020-02-18,交通管制,新疆
2020-01-23,2020-01-29,交通管制,青海
2020-01-24,2020-02-15,交通管制,西藏
2020-01-10,2020-02-08,大米,湖北
2020-01-14,2020-02-03,大米,环鄂地区
2020-01-14,2020-02-06,大米,河南
2020-01-16,2020-02-04,大米,湖南
2020-01-17,2020-02-11,大米,江西
2020-01-22,2020-02-05,大米,陕西
2020-01-24,2020-02-17,大米,安徽
2020-01-20,2020-02-08,大米,重庆
2020-01-22,2020-02-04,大米,四川
2020-01-12,2020-01-28,大米,沿海发达地区
2020-01-21,2020-01-27,大米,广东
2020-01-16,2020-01-27,大米,浙江
2020-01-20,2020-02-05,大米,山东
2020-01-20,2020-02-11,大米,北京
2020-01-20,2020-02-12,大米,上海
2020-01-20,2020-01-26,大米,福建
2020-01-15,2020-02-14,大米,江苏
2020-01-15,2020-02-12,大米,普通地区
2020-01-27,2020-02-15,大米,内蒙古
2020-01-19,2020-02-12,大米,黑龙江
2020-01-20,2020-02-09,大米,贵州
2020-01-25,2020-02-04,大米,山西
2020-01-15,2020-02-10,大米,辽宁
2020-01-20,2020-02-18,大米,广西
2020-01-23,2020-01-28,大米,河北
2020-01-24,2020-02-20,大米,天津
2020-01-19,2020-02-11,大米,云南
2020-01-25,2020-02-09,大米,宁夏
2020-01-27,2020-02-14,大米,吉林
2020-01-23,2020-02-02,大米,甘肃
2020-01-21,2020-02-02,大米,边远地区
2020-01-22,2020-01-25,大米,海南
2020-01-28,2020-02-18,大米,新疆
2020-01-21,2020-02-02,大米,青海
2020-01-23,2020-01-26,大米,西藏
2019-12-10,2020-01-22,戴口罩,湖北
2020-01-14,2020-01-28,戴口罩,环鄂地区
2020-01-17,2020-01-31,戴口罩,河南
2020-01-14,2020-01-28,戴口罩,湖南
2020-01-14,2020-02-21,戴口罩,江西
2020-01-15,2020-01-26,戴口罩,陕西
2020-01-16,2020-01-27,戴口罩,安徽
2020-01-14,2020-02-04,戴口罩,重庆
2020-01-17,2020-02-01,戴口罩,四川
2020-01-12,2020-01-29,戴口罩,沿海发达地区
2020-01-12,2020-01-26,戴口罩,广东
2020-01-14,2020-02-04,戴口罩,浙江
2020-01-14,2020-01-27,戴口罩,山东
2020-01-13,2020-01-28,戴口罩,北京
2020-01-13,2020-02-04,戴口罩,上海
2020-01-16,2020-01-31,戴口罩,福建
2020-01-15,2020-01-31,戴口罩,江苏
2020-01-15,2020-01-30,戴口罩,普通地区
2020-01-17,2020-01-31,戴口罩,内蒙古
2020-01-17,2020-02-02,戴口罩,黑龙江
2020-01-18,2020-02-03,戴口罩,贵州
2020-01-18,2020-01-28,戴口罩,山西
2020-01-17,2020-01-31,戴口罩,辽宁
2020-01-18,2020-02-03,戴口罩,广西
2020-01-18,2020-01-31,戴口罩,河北
2020-01-18,2020-01-27,戴口罩,天津
2020-01-16,2020-02-03,戴口罩,云南
2020-01-19,2020-01-31,戴口罩,宁夏
2020-01-18,2020-01-29,戴口罩,吉林
2020-01-18,2020-01-30,戴口罩,甘肃
2020-01-18,2020-01-30,戴口罩,边远地区
2020-01-18,2020-02-01,戴口罩,海南
2020-01-20,2020-01-29,戴口罩,新疆
2020-01-18,2020-02-01,戴口罩,青海
2020-01-22,2020-02-07,戴口罩,西藏
2019-12-29,2020-01-29,测体温,湖北
2020-01-14,2020-01-29,测体温,环鄂地区
2020-01-19,2020-01-27,测体温,河南
2020-01-14,2020-01-29,测体温,湖南
2020-01-19,2020-02-01,测体温,江西
2020-01-19,2020-02-03,测体温,陕西
2020-01-19,2020-01-28,测体温,安徽
2020-01-20,2020-02-02,测体温,重庆
2020-01-18,2020-02-02,测体温,四川
2020-01-12,2020-01-31,测体温,沿海发达地区
2020-01-17,2020-02-03,测体温,广东
2020-01-14,2020-01-31,测体温,浙江
2020-01-19,2020-01-29,测体温,山东
2020-01-17,2020-02-03,测体温,北京
2020-01-19,2020-02-05,测体温,上海
2020-01-15,2020-02-01,测体温,福建
2020-01-19,2020-02-02,测体温,江苏
2020-01-18,2020-01-30,测体温,普通地区
2020-01-20,2020-01-26,测体温,内蒙古
2020-01-20,2020-02-03,测体温,黑龙江
2020-01-22,2020-02-14,测体温,贵州
2020-01-20,2020-02-05,测体温,山西
2020-01-22,2020-01-30,测体温,辽宁
2020-01-19,2020-02-04,测体温,广西
2020-01-18,2020-01-30,测体温,河北
2020-01-18,2020-02-01,测体温,天津
2020-01-18,2020-02-04,测体温,云南
2020-01-19,2020-02-26,测体温,宁夏
2020-01-24,2020-01-31,测体温,吉林
2020-01-20,2020-01-31,测体温,甘肃
2020-01-17,2020-02-03,测体温,边远地区
2020-01-19,2020-02-02,测体温,海南
2020-01-17,2020-02-03,测体温,新疆
2020-01-19,2020-02-06,测体温,青海
2020-01-22,2020-02-10,测体温,西藏
2019-12-28,2020-01-26,口罩,湖北
2020-01-14,2020-01-30,口罩,环鄂地区
2020-01-17,2020-01-30,口罩,河南
2020-01-17,2020-01-30,口罩,湖南
2020-01-18,2020-01-29,口罩,江西
2020-01-19,2020-01-30,口罩,陕西
2020-01-15,2020-01-30,口罩,安徽
2020-01-18,2020-02-04,口罩,重庆
2020-01-17,2020-01-29,口罩,四川
2020-01-12,2020-01-29,口罩,沿海发达地区
2020-01-12,2020-01-30,口罩,广东
2020-01-17,2020-01-30,口罩,浙江
2020-01-17,2020-01-29,口罩,山东
2020-01-14,2020-01-29,口罩,北京
2020-01-19,2020-01-28,口罩,上海
2020-01-17,2020-01-30,口罩,福建
2020-01-17,2020-01-29,口罩,江苏
2020-01-15,2020-01-31,口罩,普通地区
2020-01-19,2020-01-31,口罩,内蒙古
2020-01-15,2020-01-29,口罩,黑龙江
2020-01-18,2020-02-02,口罩,贵州
2020-01-19,2020-02-01,口罩,山西
2020-01-17,2020-01-30,口罩,辽宁
2020-01-18,2020-02-02,口罩,广西
2020-01-18,2020-01-31,口罩,河北
2020-01-18,2020-01-28,口罩,天津
2020-01-16,2020-02-03,口罩,云南
2020-01-18,2020-02-03,口罩,宁夏
2020-01-17,2020-01-31,口罩,吉林
2020-01-18,2020-01-31,口罩,甘肃
2020-01-17,2020-01-31,口罩,边远地区
2020-01-17,2020-01-31,口罩,海南
2020-01-20,2020-01-29,口罩,新疆
2020-01-18,2020-01-31,口罩,青海
2020-01-22,2020-02-01,口罩,西藏
2019-12-28,2020-02-07,呼吸机,湖北
2020-01-14,2020-02-02,呼吸机,环鄂地区
2020-01-14,2020-02-02,呼吸机,河南
2020-01-14,2020-02-02,呼吸机,湖南
2020-01-24,2020-02-20,呼吸机,江西
2020-01-16,2020-01-31,呼吸机,陕西
2020-01-20,2020-03-03,呼吸机,安徽
